,suite,grammatical,ungrammatical
8,S_PossPRN_O_V,गौरैयाएँ हमारे कुकुरमुत्ता खाते थे।,गौरैयाएँ हमारे कुकुरमुत्ता खाये थे।
26,S_ne_PossPRN_PossN_O_V,पायलटों ने उनकी महिलाओं के आलूबालुओं को पाया था।,पायलटों ने उनकी महिलाओं के आलूबालुओं को पाता था।
23,S_ne_PossPRN_O_V,सैनिकों ने हमारी कविता को पढ़ा है।,सैनिकों ने हमारी कविता को पढ़ता है।
28,S_ne_PossPRN_PossN_O_V,गिलहरी ने हमारे मुर्ग़े का बिस्कुट लाया है।,गिलहरी ने हमारे मुर्ग़े का बिस्कुट लाता है।
3,S_O_V,फोटोग्राफर लोटा छुपाता था।,फोटोग्राफर लोटा छुपाया था।
12,S_PossPRN_PossN_O_V,उद्यमी इनकी शिक्षिका के कुकुरमुत्तों को उपजाते हैं।,उद्यमी इनकी शिक्षिका के कुकुरमुत्तों को उपजाये हैं।
10,S_PossPRN_PossN_O_V,शुतुरमुर्ग़ मेरे रसोइयों का नींबू खाता है।,शुतुरमुर्ग़ मेरे रसोइयों का नींबू खाया है।
2,S_O_V,ख़रगोश कंप्यूटरों को बनाते थे।,ख़रगोश कंप्यूटरों को बनाये थे।
1,S_O_V,गिद्ध कंप्यूटर पाता है।,गिद्ध कंप्यूटर पाया है।
14,S_PossPRN_PossN_O_V,छिपकलियाँ इनके मच्छरों की गाजर पकाती हैं।,छिपकलियाँ इनके मच्छरों की गाजर पकायी हैं।
18,S_ne_O_V,लोहारों ने आलूबालुओं को चखा था।,लोहारों ने आलूबालुओं को चखता था।
24,S_ne_PossPRN_O_V,आदमियों ने उसके फोटोग्राफर को देखा है।,आदमियों ने उसके फोटोग्राफर को देखता है।
0,S_O_V,घोड़ा बंदरिया को रोकता था।,घोड़ा बंदरिया को रोका था।
6,S_PossPRN_O_V,इल्ली इनके हाँगरों को रोकती थी।,इल्ली इनके हाँगरों को रोकी थी।
30,control,मैं एक फ़िल्म देखना चाहती हूँ।,मैं एक फ़िल्म देखना चाहलू हूँ।
17,S_ne_O_V,अभिनेत्रियों ने धागे बेचे थे।,अभिनेत्रियों ने धागे बेचते थे।
22,S_ne_PossPRN_O_V,भालू ने मेरे कुकुरमुत्ते को उगाया है।,भालू ने मेरे कुकुरमुत्ते को उगाता है।
21,S_ne_PossPRN_O_V,कछुए ने उसके केले को पकाया है।,कछुए ने उसके केले को पकाता है।
16,S_ne_O_V,अभिनेत्रियों ने औरतों को रोका है।,अभिनेत्रियों ने औरतों को रोकता है।
13,S_PossPRN_PossN_O_V,प्रोग्रामर उसके सचिव का पंख लाते हैं।,प्रोग्रामर उसके सचिव का पंख लाये हैं।
29,S_ne_PossPRN_PossN_O_V,बच्चों ने मेरे हंस का अख़बार को देखा था।,बच्चों ने मेरे हंस का अख़बार को देखता था।
15,S_ne_O_V,वकीलों ने चीतों को गिना था।,वकीलों ने चीतों को गिनता था।
11,S_PossPRN_PossN_O_V,भेड़ आपके बच्चे के बिस्कुट उगाती है।,भेड़ आपके बच्चे के बिस्कुट उगायी है।
7,S_PossPRN_O_V,दर्जी हमारे विमानों को दिखाता है।,दर्जी हमारे विमानों को दिखाया है।
20,S_ne_PossPRN_O_V,बछड़ों ने आपके नींबू खाये हैं।,बछड़ों ने आपके नींबू खाते हैं।
31,control,हम अपना घर साफ़ करते हैं।,हम अपना घर साफ़ करसो हैं।
27,S_ne_PossPRN_PossN_O_V,शुतुरमुर्ग़ ने तुम्हारी तितली की नाशपातियों को उपजाया था।,शुतुरमुर्ग़ ने तुम्हारी तितली की नाशपातियों को उपजाता था।
9,S_PossPRN_O_V,चोर मेरे धागे चुनता था।,चोर मेरे धागे चुना था।
25,S_ne_PossPRN_PossN_O_V,तितली ने इसके बंदर की गाड़ियों को रोका था।,तितली ने इसके बंदर की गाड़ियों को रोकता था।
4,S_O_V,चोर आम को गिनते हैं।,चोर आम को गिने हैं।
5,S_PossPRN_O_V,साँड़ इनकी गाजर खाता है।,साँड़ इनकी गाजर खाया है।
19,S_ne_O_V,फोटोग्राफरों ने बढ़इयों को सुना है।,फोटोग्राफरों ने बढ़इयों को सुनता है।
