,suite,grammatical,ungrammatical
28,N_of_Poss_D_V,Mzee wa suruali hiyo atalala.,Mzee wa suruali hiyo italala.
7,N_of_Poss_D_ni_A,Duma wa ua hili ni mrembo.,Duma wa ua hili ni rembo.
37,N_of_Poss_D_A_V1_V2,Makoti ya kondoo huyo mdogo aliyelala yalitengenezwa.,Makoti ya kondoo huyo mdogo aliyelala alitengenezwa.
8,N_of_Poss_D_ni_A,Mchwa wa kijiko hiki ni mmakini.,Mchwa wa kijiko hiki ni kimakini.
31,N_of_Poss_D_A_V,Chura wa watayarishaji programu hao wakatili alilala.,Chura wa watayarishaji programu hao wakatili walilala.
34,N_of_Poss_D_A_V,Viyoyozi vya mlima huu mdogo vitapotea.,Viyoyozi vya mlima huu mdogo utapotea.
13,N_of_Poss_D_AP_ni_AN,Nyumba za wanasayansi hawa wazee ni nyekundu.,Nyumba za wanasayansi hawa wazee ni wekundu.
9,N_of_Poss_D_ni_A,Mjasiriamali wa wanaume hao ni mchanga.,Mjasiriamali wa wanaume hao ni wachanga.
36,N_of_Poss_D_A_V1_V2,Mijusi wa miavuli hii myeusi iliyopotea wanapumua.,Mijusi wa miavuli hii myeusi iliyopotea inapumua.
15,N_of_Poss_D_AP_V_ni_AN,Mwanafunzi wa bustani hii pana iliyostawi ni mzito.,Mwanafunzi wa bustani hii pana iliyostawi ni nzito.
30,N_of_Poss_D_A_V,Popo wa dafu hizi pevu wanapumua.,Popo wa dafu hizi pevu zinapumua.
0,N_of_Poss_ni_A,Chura wa sahani ni mkatili.,Chura wa sahani ni katili.
26,N_of_Poss_D_V,Maboga ya kondoo hawa yataliwa.,Maboga ya kondoo hawa wataliwa.
22,N_of_Poss_V,Kikombe cha sufuria kitaundwa.,Kikombe cha sufuria itaundwa.
12,N_of_Poss_D_AP_ni_AN,Sindano za mananasi yale machungu ni ndembo.,Sindano za mananasi yale machungu ni marembo.
20,N_of_Poss_V,Simba wa matofali wanakaa.,Simba wa matofali yanakaa.
23,N_of_Poss_V,Milima ya mchwa itastawi.,Milima ya mchwa atastawi.
39,N_of_Poss_D_A_V1_V2,Kaa wa ndizi hizo chungu zitakazopikwa wanakimbia.,Kaa wa ndizi hizo chungu zitakazopikwa zinakimbia.
29,N_of_Poss_D_V,Kasri za kiatu hicho zitastawi.,Kasri za kiatu hicho kitastawi.
27,N_of_Poss_D_V,Kasuku wa baiskeli hizo alipumzika.,Kasuku wa baiskeli hizo zilipumzika.
38,N_of_Poss_D_A_V1_V2,Wauzaji wa chui huyo mwerevu anayeruka wanakaa.,Wauzaji wa chui huyo mwerevu anayeruka anakaa.
14,N_of_Poss_D_AP_ni_AN,Mabirika ya mwandishi yule mzembe ni makavu.,Mabirika ya mwandishi yule mzembe ni mkavu.
41,control,Lugha ya Kiswahili ni tamu.,Lugha ya Kiswahili ni datamu.
33,N_of_Poss_D_A_V,Mbweha wa makoti yale mageni atapumua.,Mbweha wa makoti yale mageni yatapumua.
4,N_of_Poss_ni_A,Embe la magari ni jekundu.,Embe la magari ni mekundu.
25,N_of_Poss_D_V,Kasuku wa kalamu zile anapumua.,Kasuku wa kalamu zile zinapumua.
21,N_of_Poss_V,Ng'ombe wa biskuti wataruka.,Ng'ombe wa biskuti zitaruka.
3,N_of_Poss_ni_A,Duma wa simu ni wakatili.,Duma wa simu ni katili.
17,N_of_Poss_D_AP_V_ni_AN,Mwanafunzi wa marafiki hao wajeuri waliopumzika ni mfupi.,Mwanafunzi wa marafiki hao wajeuri waliopumzika ni wafupi.
16,N_of_Poss_D_AP_V_ni_AN,Kuku wa aprikoti lile chungu lililoanguka ni wazito.,Kuku wa aprikoti lile chungu lililoanguka ni zito.
10,N_of_Poss_D_AP_ni_AN,Brashi ya jarida lile jipya ni ndogo.,Brashi ya jarida lile jipya ni dogo.
1,N_of_Poss_ni_A,Brashi ya mchezaji ni nzee.,Brashi ya mchezaji ni mzee.
2,N_of_Poss_ni_A,Mpira wa wafanyabiashara ni mrembo.,Mpira wa wafanyabiashara ni warembo.
11,N_of_Poss_D_AP_ni_AN,Chupa ya wanasheria wale washenzi ni mpya.,Chupa ya wanasheria wale washenzi ni wapya.
35,N_of_Poss_D_A_V1_V2,Tarakilishi za wanamuziki wale washupavu walioruka zinaundwa.,Tarakilishi za wanamuziki wale washupavu walioruka wanaundwa.
6,N_of_Poss_D_ni_A,Popo wa mazulia haya ni mkali.,Popo wa mazulia haya ni makali.
40,control,Vyama vya kisiasa ni vingi.,Vyama vya kisiasa ni bingi.
5,N_of_Poss_D_ni_A,Farasi wa biskuti hiyo ni mkubwa.,Farasi wa biskuti hiyo ni kubwa.
18,N_of_Poss_D_AP_V_ni_AN,Ng'ombe wa miavuli hii myeusi inayotengenezwa ni wazito.,Ng'ombe wa miavuli hii myeusi inayotengenezwa ni mizito.
24,N_of_Poss_V,Magari ya kulungu yalipotea.,Magari ya kulungu walipotea.
19,N_of_Poss_D_AP_V_ni_AN,Makocha wa kitunguu hiki kikubwa kilichoanguka ni wajanja.,Makocha wa kitunguu hiki kikubwa kilichoanguka ni kijanja.
32,N_of_Poss_D_A_V,Fisi wa mashua hizo nyeusi wanakaa.,Fisi wa mashua hizo nyeusi zinakaa.
