word,category,semantic_class,gender,nom_pl,obl_sg,obl_pl
लड़का,n,person,m,लड़के,लड़के,लड़कों
लड़की,n,person,f,लड़कियाँ,लड़की,लड़कियों
शिक्षक,n,person,m,क्शिक्षक,शिक्षक,शिक्षकों
शिक्षिका,n,person,f,क्शिक्षिकाएँ,शिक्षिका,शिक्षिकाओं
माली,n,person,m,माली,माली,मालियों
मालिन,n,person,f,मालिनें,मालिन,मालिनों
डॉक्टर,n,person,m,क्डॉक्टर,डॉक्टर,डॉक्टरों
छात्र,n,person,m,त्छात्र,छात्र,छात्रों
छात्रा,n,person,f,त्छात्राएँ,छात्रा,छात्राओं
गायक,n,person,m,गायक,गायक,गायकों
गायिका,n,person,f,गायिकाएँ,गायिका,गायिकाओं
वकील,n,person,m,वकील,वकील,वकीलों
अभिनेता,n,person,m,अभिनेता,अभिनेता,अभिनेताओं
अभिनेत्री,n,person,f,अभिनेत्रियाँ,अभिनेत्री,अभिनेत्रियों
फोटोग्राफर,n,person,m,फोटोग्राफर,फोटोग्राफर,फोटोग्राफरों
वास्तुकार,n,person,m,वास्तुकार,वास्तुकार,वास्तुकारों
मछुआरा,n,person,m,मछुआरे,मछुआरे,मछुआरों
यात्री,n,person,m,यात्री,यात्री,यात्रियों
नर्तक,n,person,m,नर्तक,नर्तक,नर्तकों
नर्तकी,n,person,f,नर्तकियाँ,नर्तकी,नर्तकियों
महिला,n,person,f,महिलाएँ,महिला,महिलाओं
व्यवसायी,n,person,m,व्यवसायी,व्यवसायी,व्यवसायियों
जज,n,person,m,जज,जज,जजों
नर्स,n,person,f,नर्सें,नर्स,नर्सों
लोहार,n,person,m,लोहार,लोहार,लोहारों
आदमी,n,person,m,आदमी,आदमी,आदमियों
औरत,n,person,f,औरतें,औरत,औरतों
बच्चा,n,person,m,बच्चे,बच्चे,बच्चों
सचिव,n,person,m,सचिव,सचिव,सचिवों
लेखक,n,person,m,लेखक,लेखक,लेखकों
लेखिका,n,person,f,लेखिकाएँ,लेखिका,लेखिकाओं
अभियन्ता,n,person,m,अभियन्ते,अभियन्ते,अभियन्तों
अनुवादक,n,person,m,अनुवादक,अनुवादक,अनुवादकों
पत्रकार,n,person,m,पत्रकार,पत्रकार,पत्रकारों
खिलाड़ी,n,person,m,खिलाड़ी,खिलाड़ी,खिलाड़ियों
लेखाकार,n,person,m,लेखाकार,लेखाकार,लेखाकारों
चोर,n,person,m,चोर,चोर,चोरों
राष्ट्रपति,n,person,m,राष्ट्रपति,राष्ट्रपति,राष्ट्रपतियों
चित्रकार,n,person,m,चित्रकार,चित्रकार,चित्रकारों
संगीतकार,n,person,m,संगीतकार,संगीतकार,संगीतकारों
किसान,n,person,m,किसान,किसान,किसानों
किशोर,n,person,m,किशोर,किशोर,किशोरों
किशोरी,n,person,f,किशोरियाँ,किशोरी,किशोरियों
कवि,n,person,m,कवि,कवि,कवियों
कवयित्री,n,person,f,कवयित्रियाँ,कवयित्री,कवयित्रियों
पायलट,n,person,m,पायलट,पायलट,पायलटों
प्रोग्रामर,n,person,m,प्रोग्रामर,प्रोग्रामर,प्रोग्रामरों
विक्रेता,n,person,m,विक्रेता,विक्रेता,विक्रेताओं
रसोइया,n,person,m,रसोइये,रसोइये,रसोइयों
वैज्ञानिक,n,person,m,वैज्ञानिक,वैज्ञानिक,वैज्ञानिकों
नानबाई,n,person,m,नानबाई,नानबाई,नानबाइयों
चरवाहा,n,person,m,चरवाहे,चरवाहे,चरवाहों
आविष्कारक,n,person,m,आविष्कारक,आविष्कारक,आविष्कारकों
सेना,n,person,m,सैनिक,सैनिक,सैनिकों
दर्जी,n,person,m,दर्ज़ी,दर्ज़ी,दर्ज़ियों
बढ़ई,n,person,m,बढ़ई,बढ़ई,बढ़इयों
नाई,n,person,m,नाई,नाई,नाइयों
राजा,n,person,m,राजा,राजा,राजाओं
रानी,n,person,f,रानियाँ,रानी,रानियों
उद्यमी,n,person,m,उद्यमी,उद्यमी,उद्यमियों
फोटोग्राफर,n,person,m,फोटोग्राफर,फोटोग्राफर,फोटोग्राफरों
अतिथि,n,person,m,अतिथि,अतिथि,अतिथियों
बत्तख,n,animal,f,बत्तख़ें,बत्तख़,बत्तख़ों
मृग,n,animal,m,मृग,मृग,मृगों
हंस,n,animal,m,हंस,हंस,हंसों
भेड़,n,animal,f,भेड़ें,भेड़,भेड़ों
मछली,n,animal,f,मछलियाँ,मछली,मछलियों
बाज़,n,animal,m,बाज़,बाज़,बाज़ों
चूहा,n,animal,m,चूहे,चूहे,चूहों
गधा,n,animal,m,गधे,गधे,गधों
लोमड़ी,n,animal,f,लोमड़ियाँ,लोमड़ी,लोमड़ियों
घोंघा,n,animal,m,घोंघे,घोंघे,घोंघों
गाय,n,animal,f,गायें,गाय,गायों
साँड़,n,animal,m,साँड़,साँड़,साँड़ों
कछुआ,n,animal,m,कछुए,कछुए,कछुओं
हाथी,n,animal,m,हाथी,हाथी,हाथियों
हथिनी,n,animal,f,हथिनियाँ,हथिनी,हथिनियों
ख़रगोश,n,animal,m,ख़रगोश,ख़रगोश,ख़रगोशों
ऊँट,n,animal,m,ऊँट,ऊँट,ऊँटों
चीता,n,animal,m,चीते,चीते,चीतों
भालू,n,animal,m,भालू,भालू,भालुओं
उल्लू,n,animal,m,उल्लू,उल्लू,उल्लुओं
